text,sentiment
Sone gaya tha aur Noida mein power cut ho gaya. Power back up bhi kaam nahi kar raha.,negative
Main ab ghar jaa raha hoon. Tumne mera naya twitter design dekha? Bahut... heavenly hai na?,positive
Mujhe umeed hai unni audition clear karegi. fighting dahye unni!,positive
"Agar yeh koi tasalli hai toh maine apna BMI test karwaya hahaha yeh keh raha hai main obese hoon, well ab main 10 minute ke liye udaas rahunga.",negative
Yeh bahut funny hai. Cute bachche.,positive
"Ahhh, main game ke dauraan so gaya. Kal zaroor dekhne ki koshish karunga. Mujhe umeed hai hum Army ke saath khelenge.",neutral
"Bas yahi hai, khatam. Tears for Fears vs Eric Prydz, DJ Hero [link]",neutral
NYC mein paida aur bada hua aur Texas mein pichle 10 saal se reh raha hoon! Phir bhi NY ko miss karta hoon.,negative
"Agar tum soch rahe ho toh hum aaj aur agle hafte bahut busy hain naye blogs aur updates add karne mein, stay tuned.",neutral
Main bahut sooooooo sleepy hoon!!! aaj school ka aakhri din tha....sniffle....,negative
"Thodi khushi wine ke liye jeje theek hai yeh mera free time hai toh kisi ko kya parvaah, jaja mujhe yeh din pasand hai.",positive
"Car khush nahi hai, boot mein bada bada dent! Umeed kar raha hoon ki woh ise write off nahi karenge, fingers cross karke wait kar raha hoon.",neutral
Main **** magazine ka avid fan hoon aur mujhe tumhare magazines pasand hain.,positive
MAYDAY?!,neutral
"RATT ne aaj raat Nashville ko rock kiya.. Ek cheez kharab thi, NO ENCORE! 80`s ki tarah unka show ab bhi fun hai. PEARCY ka woh HOTT BAD BOY LOOK ab bhi hai.",neutral
Mujhe pasand hai! Lekin main sirf 5pm ke baad available hoon. aur kahan dear? Uske vids convert karne mein madad karna pasand karunga.,positive
Hair salon mein ladki ne mujhse poocha 'Kya main tumhare eyebrows trim karoon!' Main kitna budha lag raha hoon?,neutral
"Egh blah and boooooooooooo kaam par jaana hai, HANGOVERS SU",negative
Apne Friendster aur Facebook par visit kar raha hoon.,neutral
"Mujhe prawns chhilna pasand nahi hai, mujhe shopping karna bhi pasand nahi, paise khatam ho jate hain aur car mein aur paise dhundhne padte hain.",negative
Kaunsa case? Maine pichle hafte naya liya aur mujhe bilkul pasand nahi aaya.,negative
Toh tumhe http://twittersucks.com check karna chahiye aur un logo se milna chahiye jo twitter ko pasand nahi karte.,neutral
"School mein bore ho raha hoon, yeh meri teesri free lesson (freistunde) hai.",neutral
Hm... Dono mein se hum dono I guess...,neutral
Yeh **** hai... Tumne mujhe pichle kuch din se disappoint kiya hai.,negative
Romance zero funny hai.,positive
Main jaldi bhag karna pasand karunga.. lekin main morning runner hoon.,neutral
"Ek coworker late aayi aur uska bag mere ghutne se takra gaya, ab bahut dard ho raha hai.",negative
Baad mein aata hoon. http://plurk.com/p/rp3k7,neutral
Aw. Torn ace of hearts #Hunchback,negative
Tum kis fun ki baat kar rahe ho?,neutral
"Maine apne sab friends kho diye, main akela aur neend mein hoon.. main ghar jaana chahta hoon.",negative
Haha haan.,neutral
Main asaani se give in kar deta hoon.,negative
Maa ko spoil karne ka behtar tareeka kya ho sakta hai ki unhe achha khana aur unki pasand ka wine pila ke relax karne do? Hamari wine red thi.,positive
Mannnn..... uske paas iphone hai!!! Main jealous hoon.... http://bit.ly/NgnaR,negative
Photoshoot par hoon.,neutral
Woh awesome hai... Kya tumne uske saath kaam kiya hai? Woh accha dost hai.,positive
Yay aaj raat ko show hai! Boo yeh soggy hoga aur main khelne se pehle kaam par hoon.,neutral
Chilliin.,positive
"Agar tumhe aisa agent pata ho, toh mujhe batao.",neutral
Abhi bhi smoke ki smell aa rahi hai #kitchenfire,neutral
Ek celtics-lakers rematch better nahi lagta tumhe? lol,positive
"Kisi ke paas extra Keane ticket hai? Main drink kharidne ka promise karta hoon aur tumhare FB/Blog/Flickr ke liye rad pics lunga, etc.",neutral
"'Tum ek ride kar sakte ho, tum ek catch kar sakte ho, lekin yeh summer tab tak nahi hai jab tak tum ek pop nahi karte'?",neutral
"Woh achhi hai! Itni gor-juz, haan maine usse kal hospital mein poocha tha kya usne tumse baat ki aur usne kaha nahi.",neutral
Theek hai - Main abhi ke liye jaa raha hoon. Bas Hi kehne aur cheezein check karne aaya hoon. Shaayad aaj raat ko guttah jaaun.,neutral
"WOW, main aaj FAM(iLY) ko bahut miss kar raha hoon. BADDD.",negative
Mere sources kehte hain nahi.,neutral
Main bahut tired hoon.,negative
"Hey, tumne apna twitter account change kiya aur mujhe bataya bhi nahi...",neutral
THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
"Lucky kid... main bhi Loserville dekhna chahta hoon, afsos main Oz mein hoon...",positive
Apni ride ka wait karte karte so gaya!,neutral
Bimaar hoon. Flu jaisa kuch lag raha hai.,negative
"Abhi tak SimFinger problem ka reply nahi aaya hai, toh no iRape parody video jab tak mujhe response nahi milta, sorry guys.",negative
Happy Star Wars day sabko! aur holiday enjoy karo (UK),positive
"Tumse bahut door hoon, main Essex mein hoon toh mujhe pehle bata dena taaki main time par pahunch saku aur kam se kam ek free beer le saku.",neutral
"Uski snoring bahut annoying hai aur mujhe sone nahi deti (jaise abhi, lol) lekin honestly agar yeh kabhi chali gayi toh mujhe bahut miss hogi. Main usse pyaar karta hoon.",neutral
"Main tumhe miss karta hoon bby, kaash tum kal jaa rahe hote taaki main achha kar paun.",negative
Well main jis par kaam kar raha hoon woh abhi public mein post karne ke liye ready nahi hai (abhi beta testing chal rahi hai) lekin yeh ek cool naya script hai jo maine code kiya.,positive
SWEEEEET - San Fran awesome hai!!!! Mujhe wahan bahut pasand hai.,positive
Mounce haan aur yeh mere bedtime se bahut der tak chalta hai!,neutral
Hi kaise ho ??? abhi abhi twitter join kiya...,neutral
Sleeping pills ka asar hone ka intezaar kar raha hoon... kal kaam pe bahut tired rahunga.,negative
Ice cream kha raha hoon aur phir graduation ke liye tayaar ho raha hoon.,neutral
Happy Mothers day sab Mums ko.,positive
CASEY CHALI GAYI?!?! LEKIN KYUN?! Thoda sa carpet pe pee kar diya. Shayad naya hai isliye freak ho gayi hogi. Kya hum use wapas la sakte hain?,negative
Hemp cloth laajawab hai lekin afsos nahi.,negative
Adam Lambert ki kahani online padhne wala hoon phir so jaunga. Nighty night.,neutral
Humne yeh 3D mein nahi dekha - villain best tha.,positive
4am. Aur main beach par hoon. Bahut accha lag raha hai.,positive
"Certainly not Cheers than, huh?",neutral
"1 hafte baad mere 'horrible, traumatic jumping cholla accident.'-cholla ka agla ganda trick: pieces mere haath se nikal rahe hain! Ouch!",negative
Main sach mein bahar jaana chahta tha kyunki mausam bahut accha hai lekin sab busy hain.,negative
Awesome. Main Ocean Beach mein hoon (agar tumhe pata ho). Waise 'YourBiggestFan' main tumhara bada fan hoon.,positive
Kam se kam overtime dekhne ko mil raha hai. Let`s go Pens!!,neutral
Cool main jab bahar jaata hoon toh zyada tar black pehenta hoon.,neutral
Haha mujhe blip ka kaam nahi pata siwaye obvious ke! Mere gaane ko reblip karne ke liye thanks accha din ho ****.,positive
Safe trip ho joshy poo.......tum apni speech mein sabko impress kar doge.,positive
"Woof, kaash mujhe jaane diya jaata.",positive
Agar tumhara friendster ho toh mujhe add karo!!!!!!!!! mera email address hai loco_crime_1st.com add karo aur comment chhodo.,neutral
Tickets hain.......?,neutral
"Shukriya, Afrin Nasal Spray! Aur, aaj raat mujhe ek giant teacup mila!",positive
ACSM. yeh samajh se bahar hai. Mujhe lagta hai dusra waala .. aur .. humare bedrooms mein rakha jaana chahiye. Haan?,neutral
"Aww, mujhe apne papa se pyaar hai! Woh hafton mein 7 din kaam karte hain aur phir bhi SF jaane ki koshish karte hain sabke saath.",positive
Aaj bahut saare tests the Mujhe kisi par bhi confidence nahi hai.,negative
Graduation ho gaya thoda sad hoon.. koi hang out karna chahta hai???,negative
Hahaa tum awesome ho!,positive
Holy smokes! Star Trek bahut awesome tha.,positive
"Mujhe Fallout 3 se nafrat hai yeh mujhe daraata rehta hai, meri health, paise, ammo aur food kam hain fikar mat karo main nikal jaunga.",neutral
"Mere paas tha! Mere itunes par, lekin phir mere saare gaane kho gaye.",neutral
Yeh gloomy weather kya hai? Suraj ko shayad khelne ke liye thakaan ho gayi Victoria Gardens jaa raha hoon kuch impulse buys ke liye haha.,neutral
"Agle hafte ka intezaar nahi hai: Maths, Geography, English aur French exams, total 7 ghante.",negative
"Bechara tum Bahar jaake garden mein so jao, suraj tumhare liye achha hoga. Lekin sunscreen mat bhoolna!!!",negative
Tabiyat theek nahi hai.,negative
Koi baat nahi hun.,positive
"Dad ke paas hoon, MTV dekh raha hoon aur thodi der mein sims2 khelne jaa raha hoon.",neutral
Bilkul.,neutral
Kya hua chickadee?,neutral
Hey mia! Tumhara music bilkul pasand karta hoon. Tumhara CD kab release hoga?,positive
"Shopping. Cleaning. BMFing. Nephews ke saath webcam chat. Kuch khaas nahi, lekin accha bank holiday Monday raha.",positive
#NAME?,positive
Woh splinters bahut painful lag rahe hain... lekin tum bahut heroic the mr. Pickle ko bachate hue.,negative
Tum sad kyun ho?,negative
Nice to see you tweeting! Aaj Sunday 10th May hai aur hum yahan Mother`s Day mana rahe hain. Toh apni mom ke saath achha behave karo.,positive
Relaxed se natural hair mein transform karne ka socha hai lekin kaash mere pure baal mere roots jaise dikhte. Instant gratification ka age hai...,positive
Namaskar aur Namaste dono same hain. Marathi log Namaskar kehte hain! Yeh marathi shabd hai.... kya mujhe kehna chahiye? ...naaaah !,neutral
"Congrats! Main bhi aise hi kuch minute mein cuss kar leta hoon, lekin abhi tak nahi pata tha iske liye reward milta hai.",neutral
Humous aur Dorito`s.... Oh haan.,neutral
"Sara accha mausam miss kar diya, kyunki main movie mein thi!",negative
Aaj ka din normal hoga mere liye umeed hai. Kal raat ek bade airline ke pilots ka group aaya tha toh bahut zyada drink hui.,neutral
Yeh bachhe bahut terrible hain! Agar main Good Evans mein hota toh Childline ko call karta.,negative
"Afsoos, AerLingus ab Copenhagen nahi jaati toh humein Ryanair se Billund udna padega aur wahan se drive karke Copenhagen pahunchna padega!",negative
Yeh sad hai ki mujhe yeh term google karni padi. Bahut bura laga.,negative
Fighting se nafrat hai.,negative
"Main bhi yeh dekha!!! Main nahi chahta tha woh jeete, lekin usne achha fight diya..lol.",neutral
Car-warmed Sprite sore throat jaise lagti hai.,negative
Cross country mein 11th aaya aur dumbo ko hara diya.,neutral
Candle wax bahut mazedar hai.,positive
Woh unassuming aur unpretentious hai. Bas aise hi hai. Shayad isliye woh itni endearing hai - kyunki hum usse relate kar sakte hain.,positive
Kal Valeria ka lunch hai!!! Baal banwane jaa rahi hoon lekin late pahunchungi. Mere cousin ka baptism hai ya jo bhi tum isse spell karte ho.,neutral
Goooooddd morning tweets!! Week three mere workout ka. Kya maine bataya ki kal mujhe naye glasses mile?!,positive
Mujhe bhi. Main apne computer se itni nafrat karti hoon..,negative
Theek hai! Aaj apni badi walk karne jaa raha hoon 20 miles ke aas paas.,positive
Mujhe RED CRUISERS chahiye!! Mujhe doosre pasand nahi. LMFAO!,negative
Mmmmmmmm... subah mein ?,neutral
Mujhe bhi nahi.,neutral
Sunday ko 10 ghante kaam karna padega. Boo. Lekin main do ghante ka lunch break nikal lunga. Yeah.,neutral
Bugger. bhool gaya ki washing machine mein abhi bhi kapde hain.,negative
"Laurie tumhe aur tumhare parivaar ko pyar, blessings aur healing thoughts bhej raha hoon. peace.",positive
Meri back bahut dard kar rahi hai.,negative
Haan yeh feeling mujhe pata hai.,neutral
Night of the cookers mere dad ke saath.,neutral
Mera modem ek hafte se offline hai... God bless the 3g network. Tim abhi abhi gaya... Phir se!! May schedule bahut tough hai.,negative
Nahi main Coquitlam mein hoon.,neutral
Kal parent teacher meeting thi!! Bahut boring tha Saturday ko school jaana!! lol.,negative
#lichfield #tweetup fun lag raha hai Umeed hai tum aur sab wahan milenge!,positive
Badi booming thunder storm lagbhag yahan hai. Shayad hum sab ghar jaldi jaa sakte hain??? Ah... shayad nahi.,neutral
Aaj town mein kuch drinks... day off pe mazaa!,positive
Pehli raat Myers mein. Lydia ke bina waisa nahi lag raha! lekin main actually is summer ke liye excited hoon!,positive
Good morning.,positive
Yeh best show EVER hai!,positive
Previous post ka URL (timer job ke liye) hona chahiye http://bit.ly/a4Fdb. Maine space hata diya jo URL ko mess kar gaya. ^ES.,negative
Lagta hai maine apna daant chot pahunchaya aur eilish aur cassie cookies aur pineapples draw karne ka competition kar rahe hain haha,neutral
.,neutral
Mander! Auditions kab hain yeh jaana chahta hoon! Text ya... reply karo please!,negative
ya phir NOOOOO NOT THE SECRET NAMEREBECCA PLEASE.,negative
Main apni niece ko miss karta hoon use dekhne ke liye wait nahi kar sakta bad n grown ****! Lol.,neutral
Mujhe apna computer fix karana hai.,negative
Sach mein umeed karti hoon meri car ki bimari terminal na ho...,neutral
"Aaj jin cool logo ko follow karna chahti thi woh sab #English hain, aur lagta hai English tweet nahi karte.",neutral
nahi sir... main honey dalta... lekin mere paas nahi hai.,positive
Kisne X-men origins: wolverine dekha? Mujhe bahut pasand aaya! haha.,positive
Maine VOTED!!! kya tumhara personal myspace hai? main fake logo se baat karta hoon i <3 you. tumne meri life ke sabse mushkil waqt mein madad ki! (: x.,negative
Main sad hoon ki kal raat tum logon ko miss kar gaya!,neutral
Finally marriage counseling ke liye call aaya 3 din late....,negative
theek hai phir.,neutral
420 kyun baby?,negative
Aaj high school ka aakhri din tha mere liye aur main bimaar hokar ghar gaya! ... stupid dead rats.,neutral
Hum impromptu pool party kar rahe hain... lekin mujhe swimming nahi aati toh main paani mein nahi jaa sakta.,negative
Aaj gum khate waqt mera daant toot gaya...oww.,positive
Happy 1 year! <3.,positive
"Oh, maine HELLA bhool gaya apna official good morning bolna Sunna pasand karoge? Lo suno! Goooooooooooood Morrrrrrrrning Twitterville! Lol.",neutral
phew Note bana lunga agar kisi aur ko bhi same issue aaye.,negative
WHAT ABOUT ME ?? MAIN HAR ROZ TUMHARE LIYE VOTE KARTA HOON !!!!!,negative
Main bhookha hoon!! Yeh diet mujhe maar rahi hai lekin main 8pm ke baad nahi khaa sakta.,neutral
main tumse baat karta hoon.,negative
main bahut bored hoon... main apne music channels ko miss kar raha hoon.,positive
nite nite birthday girl concert mein mazaa karna.,neutral
"Nicotine replacement patch 4 ghante se laga rakha hai. Ab tak, theek chal raha hai, lekin maine un 4 ghanton mein zyada soya hoon. Ab thoda twitchy lag raha hai.",neutral
Sanderson Twatter ke saath lately kya ho raha hai? Ya toh main access nahi kar pa raha ya replies nahi aa rahe!,neutral
Maine suna hai yeh fall mein aayega. Main bhi intezaar kar raha hoon!,neutral
Aur nightmares? huggles,neutral
Main bahut bada creeper hoon Is wajah se disappointed hoon. **** mere cyberstalking skills. Internet = koi privacy nahi.,negative
"So ja raha hoon, der ho gayi hai aur sir dard ho raha hai.",negative
Sab moms ko happy mother`s day...,positive
Coffee le raha hoon aur phir mom ke liye breakfast bana raha hoon.,neutral
Soch raha hoon aaj raat bahut mazaa aayega.... aur shayad kuch changes bhi aane wale hain.,positive
Shukriya. Major chop se pehle.,neutral
"Haha mujhe pata hai, main fame handle nahi kar sakta! aur shukriya!",positive
Abhi abhi utha hoon aur apna ipod update kiya hai.,neutral
Haan! sober HAHAHA dopahar ke time dude! haha WILD. main nahi jaanta plan banate hain US jaane se pehle!,positive
Hum kabhi ICarly miss nahi karte - mere bete ko Miranda par bahut bada crush hai.,positive
Aaj James Carville ko store mein dekha. Uska sir sach mein itna ganja hai.,neutral
Yellow ke liye ? http://blip.fm/~5z05g,neutral
Iska matlab tumhe vancouver wapas aana padega aur hume apne tarike se karna padega! hahah,neutral
Chrome jaisa smooth feel kar raha hoon.,positive
Ew traffic.,negative
"Gaane download kar raha hoon aur thoda homework bhi karne ki koshish kar raha hoon, jo meri main priority honi chahiye na ki gaane lol.",neutral
@Ra_Ra_ tum akeli nahi ho... mujhe bhi coffee chahiye.,neutral
Mere jaise lagta hai.,neutral
"Bura din Jab tumhe realize hoga ki tumne mujhe kitni musibat mein dala hai, woh meri life ka ek khushi ka din hoga...",neutral
Class tak walk kar raha hoon. Bike na hone se nafrat hai.... khaaskar meri.,negative
Nesmith.,neutral
"Inspection fail ho gaya. Tumhe pata tha tum bina oven ke pass kar sakte ho, lekin bina anti-tip bracket ke nahi, jo sirf oven ke sath milta hai? Yeh taxes se bhi bura hai.",negative
"JONAS BROTHERS - Live to party. Bahut rocking hai mujhe gaana pasand hai,",positive
Sab mothers ko happy mother`s day.,positive
"35 minutes ho gaye 1hr 20mins Google Wave demo dekhte hue, yeh bahut fun lag raha hai, test karne ka mann hai. http://bit.ly/WnMSc",positive
Sleepy Tabz so raha hai. Fun night! Agle episode of Joss`d suni!,positive
Chhote ladke ke liye exception: Larenz fineass Tate yum.,neutral
"Reviews ki chhodo, mujhe Wolverine awesome laga. Lekin Dominic Monaghan kam tha mere liking ke liye.",positive
"Agar tumne hume recently follow kiya, PLEASE naraz mat hona agar humne follow back nahi kiya. Humara limit hit ho gaya. Hopefully jaldi free ho jayenge.",positive
Haan main 6 se 3 kaam karta hoon...,neutral
"Hmmm, shayad wohi unka matlab tha. Unhone kuch bilkul naya hint kiya tha lekin tumhe pata hai media kaise hai.",neutral
Spa khatam ab vic se late lunch ke liye mil raha hoon!,neutral
Happy Monday uth gaya aur Tavares jaa raha hoon aaj. Sabka din blessed ho!,positive
Hamesha Oz jaana chahta tha.,neutral
Thx.,neutral
http://twitpic.com/4jaz5 - Cool... pasand aaya.,positive
Isi liye mujhe wahan hona chahiye... Blackberries ko represent karne.,positive
Theek hai toh apna 300th tweet is baat ko dedicate kar raha hoon ki main Apple store jaa raha hoon kyunki mere glass screen pe ek HUGE crack hai!,neutral
Kaash humein yahan rukne aur yeh karne diya jaata.,neutral
Mujhe batana woh kaise hota hai!!,neutral
Kya woh sass tha jo maine detect kiya? Jab tak yeh back sass nahi hai! Haha.,neutral
"Haan main uske baare mein soch raha tha, ahaha.",positive
Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Pata nahi yeh madad karega. Google ki jai ho.,neutral
Main bilkul nahi so raha hoon jab tak meri maafi accept nahi karta.,negative
"Wolverine BOSS tha! Seriously, aur Will.I.Am usme tha, What The ****??",negative
"Main pain ke liye jeeta hoon, le aao.",neutral
"Theek hai, main thodi der ke liye jaa raha hoon baad mein milta hoon!",neutral
#powerblog Yeh powerblog challenge kya hai jiske baare mein tum baat karte rehte ho? Main ek newbie follower hoon.,neutral
Lagbhag mar gaya. Laptop screen Windows Vista reinstall karne ke baad 100% brightness par set thi. Ab sir dard ho raha hai #insanedefaults,positive
"Tish ka intezaar kar raha hoon. Apni mom ke CRV ko lene ke liye usse pick karne jaana hai, main aur duckie. Pehli baar.",neutral
Friends ke saath movie decide karne ki koshish kar raha hoon.. kuch zyada achha nahi chal raha! lol,negative
"Aaj bible study nahi, matlab ****-day cake apna khud se kharidna padega??",neutral
Shower lene jaa raha hoon kyunki kal school mein smell nahi karna chahta.,neutral
Sigh... tumhe pata hai main hoon...,positive
"Naye #NetPLAYER 4 build mein bug ka karan pata chal gaya. Ab bug fix publish kar raha hoon, hopefully kal tak naya beta.",neutral
Yahan 4 FREE twitter tools hain jo tumhe followers dilayenge http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral
Abhi abhi kaam se ghar aaya.... aur ek badi bottle apple juice pee raha hoon.,negative
Haan yeh karta hai. Please mat jao. Agar tum mar gaye toh main ro dunga.. jo aksar chhote janwaron ko nukhsan pahuchata hai.,positive
Report cards likh raha hoon bahut tired hoon lekin kya amazing din tha. fb pe jaldi check karo!,neutral
Yeh sirf ek baar tha mere bade bhai ke liye... aur ab main done hoon.,neutral
Good news: finally apna #EASactive workout complete kar liya jo 6 ghante se paused tha. Bad news: mera resistance band toot gaya.,positive
"Well good morning sabko, kya wonderful din hai neighborhood mein Thanks un sabko jo ab follow kar rahe hain, aaj subah 60 naye followers.",positive
FTSK aur Mercy Mercedes aaj raat amazing the.. hamesha ki tarah.,positive
Umeed hai woh theek hai!,positive
School kab khatam hoga? Roz usse dekhna bahut dard deta hai...,neutral
"Maine intezaar kiya, hawa ko sunte hue jo tumbleweed ke beech se guzri. Tum sab mein se koi itna bada nahi jo jaane 'Crackerack' kehte waqt kya karna hai?",neutral
Hell Yeah!,neutral
Dinner pe HIM shirt? Tumhe puchne ki zaroorat hai?? Kya ispar sach mein Ville hai?,neutral
Mujhe pata hai!!,neutral
Huh what the ****? Smelly? Noooo. Mujhe Alex Vixon pasand hai.,positive
"Kal raat party mein gaya tha. Dindin aur main matching outfits pehen kar aaye ) GREAT MINDS THINK ALIKE ) Waise, happy birthday, ate lara.",positive
"Happy b-day! Abhi abhi Earth ke is taraf se utha hoon, wishes thodi late hain.",positive
"Shukriya mujhe values sikhane ke liye aur har din behtar insaan banane ke liye MAIN TUMHE BAHUT PYAR KARTA HOON, TUM DUNIYA KI BEST MUM HO.",positive
HAPPY MOTHERS DAY.!,positive
"laughs Mujhe khushi hai ki tumhe self confidence hai - yeh ek wonderful trait hai Main iske liye extra loud applause dunga, okay?",positive
Thanks.,neutral
2 din baad twitter kar raha hoon!,positive
Week ke liye ready ho raha hoon Aaj bahar ka din bahut accha hai kaam karne ke liye andar band hone ke bajaye!,negative
Main bahut depressed hoon.,negative
"**** jaisa feel kar raha tha, apne bete ki tarah behave kiya; compensate karne ke liye khaya. Ghar pe roaste sugar almonds khayi. Dard ho raha hai pet mein, ulti kar di, abhi bhi bura lag raha hai.",positive
Happy Mothers Day sabko. Main apni mom se bahut pyar karta hoon ab bhi.,negative
Sunke afsos hua.,positive
"Yeh awesome hai dude, surprise celebrities ke liye yay! Main usse kuch saal pehle mila tha, woh bahut friendly tha.",positive
"Yeh sunke mujhe khushi hoti hai jab ek ladki NBA ke baare mein baat karti hai, ya tweet karti hai. lekin... kya tum mere Nuggets ko thoda pyar de sakti ho?!",neutral
Twitter ka hang samajh raha hoon.,negative
Tumhe pata hai tumhari gardan kitni kharab hai jab tumhe paid parking karni padti hai kyunki tum free spaces mein parallel park karne ke liye sir nahi ghumaa sakte...,neutral
Main yeh ABHI WAPAS chahta hoon!: http://bit.ly/PP1WZ,negative
Apne roomie ko miss karunga ... Hum kal se roomies nahi rahenge.,neutral
"Do chhote angels, Keyla aur Janice ke saath nahane jaa raha hoon.",negative
"Haan, finish kar liya, spelling aur grammatical errors se bhara hai, lekin kal saaf kar raha hoon aur upload kar dunga hehe.",neutral
HAHAHHA lol true that! main hamesha apna BD yaad rakhta hoon lekin kabhi yaad nahi rehta ki date ya din kya hai.,neutral
"Family yahan hai, unke saath time spend kar raha hoon.",positive
Ellen dekh raha hoon. Usse pyaar karta hoon!! Phir dishes karna ... aur tanning karna ... bahar ka mausam bahut accha hai!,negative
Kya chal raha hai hun? Main tumhare baare mein fikar hoon.,negative
Mujhe ban nahi kiya gaya... lekin main 6 baje tak kaam par hoon.,neutral
"Good morning! Agar maine dekha, toh tumhe bataunga. Abhi, main Wolverine dekhne ja raha hoon.",neutral
"Red top tabloids, build em up, knock em down.",positive
Aaj raat party mein apni girls ke saath (vita ke bina).,positive
"Maine abhi jo photos upload ki hain, woh mere cats ke baby pics hain. Missy abhi ek adult aur bohot sundar billi ban gayi hai, lekin Batty ab kitten heaven mein hai.",neutral
"Maine yahaan iska play dekha, yeh amazing tha.",positive
Main khush hoon ke maine apna Twitter virginity aap dono ke saath tod diya.,positive
Dinner ke liye family ke saath... Mujhe unka yaad aa raha tha.,negative
"Live, wohi toh main chahta hoon. Jitna zyada, utna accha. Thode bure log bhi honge, lekin woh jaldi seekh jayenge.",neutral
"Hell yeah, Kellynn ne Twitter le liya. Finally.",neutral
"Mujhe pata hai, worth a shot tha, phir bhi!",positive
"Abhi-abhi Facebook account khola, thoda confused hoon. Samajh nahi aa raha. Twitter zyada accha lag raha hai.",positive
Ship. Main phas gaya hoon.,negative
DUSTBIN BABY 11.30 baje ON hai. Intezaar nahi ho raha x,positive
"Is par jyada soch nahi rahoonga. Hua, guzar gaya. Bas dukh hai ke woh bohot supportive tha! Aisa hi hai zindagi! x",negative
Lagta hai office TV pe MLB Network aata hai... aur lagta hai MLBN aaj DET/BAL game nahi dikha raha #wieters,neutral
Ghar wapas khali haath aaya. Aaj koi comics nahi mili. Ab main apne Magnolia Bakery ke cupcakes ka maza loonga.,neutral
Kaam tak bistar mein lete hue... Oh zindagi. Shayad nerve pinched hai.,negative
Aaj bohot busy din hai. Thaka dene wala!,negative
"Main Sunday ko jaane wala tha, lekin ab us weekend pe bohot kuch ho raha hai.",neutral
"Tumhara flight cancel ho gaya, sunke dukh hua. Yeh bohot bura hai!!!",negative
"Ohh, mera daant dard kar raha hai. Bahut dard ho raha hai.",negative
"Main distract hone se pehle, apne naye followers ko follow karne ke liye dhanyavaad dena chahunga! Aur baki sabko: pyaar mil raha hai.",positive
"Tumhe lagta hai tumhare paas bills hain? Ha! Maine abhi abhi apne bills khatam kiye, isliye main broke hoon.",negative
"Pata nahi, likha nahi tha ke bada tha. Maine bas tumhare birthday ke photos dekhe. Tum bohot sundar lag rahi thi!! Miss karta hoon tumhe!!",neutral
Gala dard ho raha hai. Marwell ke liye TET outing plan kar raha hoon... accha samay.,neutral
"McFly gig kal raat omg yeh amazing tha, poore show mein nahi baitha. McFly kya tumne mujhe aur mere best mate ko dekha? Hum tutus mein the.",positive
2 din bina neend ke aur ab migraine hai. Socha tha R01 ke baad zindagi relaxing hogi.,negative
Waha!,neutral
? sucks ! ?..,negative
Sway sway winner kab announce hoga?,neutral
"K, check karunga...",neutral
"Accha chal raha hai, up aur wide awake hoon.",positive
